id,username,handle,time_ago,content,hashtags,answer,explanation,difficulty
1,好評バイト案内📢,@baito_popular,1時間前,"週3日〜OK✨  
時給1200円💵  
履歴書不要🙅‍♂️だけど面接あり📝  
研修はLINEで実施📱  
応募はDMで受付中📩",#バイト #副業,×,履歴書不要でDM誘導が怪しい。ただし面接あり＆研修実施は信用材料。ただし研修がLINEという点で個人情報流出のリスクあり。,easy
2,みんなのカフェ☕️,@minnanocafe,2日前,"未経験歓迎😊  
時給1000円〜週2日〜OK📅  
応募は店頭か電話☎️で！  
LINEでも質問受付中📱",#カフェ #バイト,〇,応募は公式ルート。LINE質問対応は顧客対応として自然。安心できる募集。,easy
3,超短期爆稼ぎ速報💥,@super_cash_now,10分前,"3時間で2万円‼️  
履歴書不要🙅‍♂️  
面接あり📝  
即日現金手渡し🙌  
まずはDMで詳細！",#短期 #高収入,×,面接があるのはいいが、履歴書不要＆DM誘導＆即日現金は闇バイトの危険信号。,easy
4,イベントバイト募集中🎉,@event_baito,3日前,"時給1200円💰  
週末のみOK📅  
応募は電話☎️またはメール📧で。  
LINEでの質問も受付中📱",#イベント #バイト,〇,正規の応募方法で質問はLINE対応。安心できる募集。,easy
5,高収入副業速報💸,@highpay_baito,30分前,"月収50万円も夢じゃない！  
履歴書不要🙅‍♂️  
説明はLINEで。  
友達紹介ボーナスあり🎁",#副業 #高収入,×,高収入で履歴書不要、LINE説明はかなり危険。友達紹介ボーナスも闇バイトの罠。,easy
6,在宅ワーク紹介所🏠,@remote_work123,5時間前,"完全在宅OK✨  
時給1800円〜！  
履歴書なし🙅‍♀️  
面談はビデオ通話🎥  
LINEでやりとり📱",#在宅 #副業,×,在宅でも履歴書不要＆LINEやりとりは要注意。ビデオ通話ありはプラス材料だが、個人特定される恐れも。,easy
7,学生応援バイト🎓,@student_baito,1日前,"大学生歓迎📣  
週2〜OK✨  
交通費支給あり🚌  
研修あり📘  
応募はLINEのみ📱",#学生バイト #短期,×,LINEのみの応募は不透明で危険。条件は良いが、応募経路が公式でないためリスクあり。easy,easy
8,安全第一の軽作業🏗️,@anzen_baito,6時間前,"時給1100円〜💵  
週3〜OK📅  
面接あり📝  
応募は公式HPまたは電話☎️",#軽作業 #安全求人,〇,応募方法・条件が明確。公式サイトありで安全な募集。,easy
9,今だけ特別報酬💥,@tokubetsu_job,45分前,"特別時給2500円🔥  
完全日払い🙌  
履歴書なし🙅‍♂️  
応募はDMで！  
早い者勝ち⚠️",#特別バイト #副業,×,特別報酬・日払い・履歴書不要・DM応募は全て危険要素。,easy
10,カフェスタッフ急募☕️,@cafe_recruit,2日前,"未経験歓迎🌸  
時給1050円〜🕒  
交通費支給🚉  
研修あり📚  
応募はLINE or 電話で📱☎️",#カフェ求人 #学生歓迎,〇,LINE応募ありだが、電話も併用。研修あり・条件明確で安心なパターン。,easy
