id,username,time_ago,content,hashtags,answer,explanation,difficulty
1,short_job_jp,55秒前,"1日だけで5万💸  
現金手渡しってどう思う？？",#副業 #短期バイト #即金,×,高額報酬・即金・現金手渡しは闇バイトの典型的特徴です。,easy
2,work_life_happy,2時間前,"📢カフェの朝バイト募集！  
週2〜OK☕  
履歴書いるけど、ゆるめで大丈夫だよ◎",#カフェバイト #学生歓迎,〇,応募条件・雰囲気ともに一般的。問題のない求人です。,easy
3,sidejob_girls,15分前,"今月ピンチな子集合💥  
スマホだけで日収2万✨  
とりあえずLINEして！",#即金 #在宅ワーク,×,高額報酬とLINE誘導、仕事内容不明など、闇バイトの危険サインが揃っています。,easy
4,safe_job_news,3時間前,"📦仕分けバイト募集！  
面接ありで交通費も出るらしい〜  
週3日から👌",#軽作業 #安心バイト,〇,採用プロセスが明確で、怪しい点はありません。,easy
5,job_urgent_now,30分前,"🕊️身バレ一切なし  
即払い対応◎  
LINEで案内送るね",#副業 #即金,×,“身バレなし”“LINE案内”などは闇バイトの典型的手口。要注意。,easy
6,tenpo_baito_club,1時間前,"居酒屋バイト始める子いる？🍶  
友達と一緒に応募OKらしい！  
電話で聞いてみたら？📞",#飲食店バイト #友達応募,〇,飲食店の一般的な求人。応募ルートも公式で安心。,easy
7,quick_cash_jpn,10分前,"3時間で2.5万！？😳  
え、これって普通なの？  
しかも面接なしってやばない？",#副業 #短期,×,異常な高報酬・面接なしは極めて危険な特徴。,easy
8,supermarket_staff,5時間前,"🛒スーパー品出しスタッフ募集！  
学生・主婦も大歓迎♪  
電話か店頭で応募してね📞",#スーパー #バイト募集,〇,安心感のある典型的な店舗系バイト。問題なし。,easy
9,cashonly_baito,1時間前,"📩仕事内容は言えません  
でも絶対カンタン💡  
日給4万、すぐ振り込むよ💸",#即金バイト #副業,×,仕事内容不明・高日給・即振込と三拍子揃った危険案件。,easy
10,cafe_recruit_info,2日前,"☕カフェで朝だけ働きたい人〜？  
週末メインでもOKだって！  
制服かわいかったよ💓",#カフェバイト #女子バイト,〇,普通のバイト求人。怪しい点は見られません。,easy
11,quick_work_girls,40分前,"💋誰にもバレずに稼げる副業
即日で振込するね〜💸
詳しくはストーリーのリンクから！",#副業 #即金 #在宅,×,“誰にもバレない” “即振込” “詳細不明リンク”のセットは非常に危険。,easy
