id,username,content,answer,explanation,difficulty
1,卯月先輩,"じゃあこれどう？💡
1日だけで5万円のバイト✨
即日現金手渡しで、身分証とかいらないよ！",×,高額・即日・身分証不要は闇バイトの典型。信頼できる人からでも疑おう。,easy
2,明日香ちゃん,"うちのバイト先、カフェだけど超ゆるいよ☕️
週2からOKで制服かわいいし✨",〇,一般的なカフェバイト。条件や場所が具体的で安心。,easy
3,タケル,"紹介するよ👍
スマホだけでできるやつで、登録したらすぐ3万円もらえるらしい📱💰",×,“登録だけで報酬”は詐欺的手口。簡単すぎる話には裏がある。,easy
4,さくら先輩,"駅前のスーパー、レジのバイト募集してたよ〜！🛒
履歴書だけ持って行けばOKだって✨",〇,具体的な店舗・履歴書持参＝実在する安心な求人。,easy
5,健太,"バレない副業って知ってる？😎
詳細はLINEの別グループで教えるから入ってみて〜",×,“バレない”“別グループで詳細”は闇バイトの典型例。,easy
6,なお,"うちの親戚の店で人足りてないんだって！
居酒屋でホールの手伝い〜🍻
時給1000円くらい！",〇,身元がはっきりしており、業務も明確で安心。,easy
7,リョウ,"内容は言えないけどマジで稼げる🔥
3時間で4万円とかいける！",×,仕事内容不明・高額報酬は典型的な闇バイトのサイン。,easy
8,ミナ,"コンビニの深夜バイト空いてるって！🌙
防犯カメラあるし、安心らしいよ〜📹",〇,内容・条件ともに現実的で、安全性も考慮されている。,easy
9,ユウト先輩,"身分証とかいらないし、顔出しもナシで大丈夫👌
マジで“誰でも”できるから試してみて！",×,“誰でもOK”“顔出し不要”“身分証不要”は高リスク要素。,easy
10,あかり,"近くのパン屋さんでバイト募集してたよ〜🍞
面接あるけど、未経験でもOKって書いてた✨",〇,業務・条件が具体的で、一般的な求人。安全。,easy
11,涼介先輩,"とりまこれやってみ？🔥
内容は秘密だけど、3時間で3万いけるっぽい💰
オレもやってる😎",×,“内容は秘密”＋“高額報酬”は典型的な闇バイトの特徴。,easy
12,ユイ,"高校のときのバイト先、また募集してたよ〜🌟
お弁当屋さんでめっちゃまかない美味しいらしい！🍱",〇,実在の店舗・内容も具体的で信頼できる。,easy
13,ショウ,"顔出しナシ🙅‍♂️
誰にもバレずにできる仕事あるけど、やってみる？💸",×,“バレずにできる”＝身バレ防止＝犯罪関与の可能性大。,easy
14,れいな,"カラオケのバイト始めたんだ〜🎤
夕方だけだし、けっこう楽しいよ✨",〇,業種も勤務時間も明確で、一般的な求人内容。,easy
15,ナオト,"絶対言わないって約束できる？🤫
マジで稼げるやつ紹介するから",×,“秘密厳守”で誘うものは、高確率で違法性がある。,easy
16,まなみ,"アパレルのバイトまた受けてみたら？👗
駅ビルに入ってるショップ、面接受けてきたよ！",〇,店舗・業種・応募状況が具体的で、安全。,easy
17,シン,"日払いで即現金💴
しかも顔出しナシ👌
登録だけでOKらしい！",×,“即現金”“登録だけ” “顔出し不要”の三点セットは要注意。,easy
18,ひかる,"近所の本屋、バイト募集してた📚
週3くらいでいいって！",〇,ローカルで具体的な内容。安全な求人。,easy
19,まこと先輩,"身分証とか一切いらないし、連絡手段もLINEだけでOK📱
マジでやってみた方がいいって！",×,“身分証不要・連絡手段限定”は典型的な闇バイト誘導。,easy
20,りな,"うちの妹の塾、バイト募集してるって！
子ども好きならいいかも〜📖",〇,紹介元がはっきりしていて、内容も健全。,easy
21,さとし,"“中身は言えないけど”…  
オレも昨日やったんだけどさ、  
マジで一晩で4万💸",×,“中身は言えない”＋“高額短時間”＝闇バイトの鉄板ワード。,easy
